component,status,evidence_basis,blocker_or_note,next_required_action
lane_class,LOCKED_SOURCE_NATIVE_FUTURES,"README.md; lane classification rules; S09 MES source trail","MES remains source-native futures only.","Preserve CFD/adapter closure."
source_root_and_row,LOCKED,"APPENDIX_C_174_006 / MES","MES source identity was selected by prior S09 MES gate.","Do not substitute ES/NQ/full-size index contracts."
provider_condition_admission_status,LOCKED_NORMAL_PROVIDER_ROWS_ONLY,"Prior MES expansion and lineage artifacts","Degraded/unresolved provider rows are not admitted.","Preserve no-fill/no-repair/no-degraded-row policy."
historical_contract_lifecycle_status,LOCKED_DERIVED_THIRD_FRIDAY_RULE_FROM_GENERIC_CME_STATIC_SOURCE,"Historical lifecycle extraction packet","Lifecycle blocker dates are derived from generic CME quarterly cycle/final-settlement source, not per-contract official rows.","Use derived dates only with this label."
annual_risk_source_method_status,LOCKED_SOURCE_METHOD_PART_ONE_S03_VARIABLE_RISK_FAMILY,"S26 sigma source gate; P05 source packet; src/carver/spine/s03.py","Method source family is locked, but MES runtime values are not executed.","Open runtime annual-risk gate before emitting daily price risk."
daily_price_risk_conversion_source_status,LOCKED_BOOK_SOURCE_ATOM,"Carver p.72 as recorded in S26/S09 source gates","daily_price_risk = current_price * annual_percentage_risk / 16","Can only execute after annual risk runtime passes."
annual_risk_runtime_value_status,FAIL_CLOSED_S09_MES_ANNUAL_RISK_RUNTIME_VALUES_NOT_EXECUTED,"No runtime annual-risk rows emitted in this pass.","No daily price-risk rows may be emitted.","Lock source window, long-run risk source, no-lookahead, and first usable date."
roll_trading_day_semantics_status,FAIL_CLOSED_S09_MES_PROVIDER_DATE_SUNDAY_ROWS_NOT_NORMALIZED_TO_EXCHANGE_COMPLETED_TRADING_DAY,"Prior roll plan uses provider-date labels including Sundays.","Provider-date roll plan cannot yet be strategy input.","Resolve provider date versus exchange completed trading-date authority."
cost_value_status,FAIL_CLOSED_S09_MES_HISTORICAL_COST_VALUES_NOT_EXTRACTED,"CME source locations only; no fee values extracted.","Cost computation is not authorized and not possible from this packet.","Extract exchange/clearing/regulatory/broker/spread/slippage values under a later gate."
risk_adjusted_cost_status,FAIL_CLOSED_S09_MES_RISK_ADJUSTED_COST_NOT_COMPUTABLE,"Cost values and daily price-risk runtime are unresolved.","Risk-adjusted cost per trade cannot be computed.","Compute only after cost and risk runtime pass."
speed_cost_eligibility_status,FAIL_CLOSED_S09_MES_SPEED_COST_ELIGIBILITY_NOT_COMPUTABLE,"S09 0.15 SR threshold and turnover table are source-known, but MES risk-adjusted cost is missing.","No speed-specific eligibility decision is possible.","Apply threshold after risk-adjusted cost is locked."
eligible_speed_set_status,FAIL_CLOSED_S09_MES_ELIGIBLE_SPEED_SET_NOT_LOCKED,"All-six-speed assumption remains forbidden.","FDM Table 36 row cannot be selected.","Select eligible spans only after cost eligibility passes."
strategy_input_readiness_status,FAIL_CLOSED_S09_MES_STRATEGY_INPUT_NOT_READY,"Roll semantics, annual-risk runtime, cost values, risk-adjusted cost, and speed eligibility remain blocked.","No S09 MES forecast/backtest may consume this packet as strategy input.","Open the next runtime lock gate."
