component,status,evidence_basis,blocker_or_note,next_required_action
lane_class,LOCKED_SOURCE_NATIVE_FUTURES,"README.md; docs/mission/CARVER_SOURCE_NATIVE_RESEARCH_CHARTER_2026-05-28.md; docs/process/LANE_CLASSIFICATION_AND_ADAPTER_QUARANTINE_RULES_2026-05-28.md","No CFD/adapter authority admitted.","Preserve SOURCE_NATIVE_FUTURES lane."
source_root_and_row,LOCKED_MES_APPX_C_174_006,"docs/process/CARVER_S09_MES_SINGLE_INDEX_ROOT_CONTINUOUS_LINEAGE_AND_COST_ELIGIBILITY_PREFLIGHT_2026-06-02.md; docs/process/CARVER_S09_MES_DEV_RECON_DATA_EXPANSION_RESULT_2026-06-02.md","MES remains the selected S09 single-index source-native root.","No ES/NQ/full-size substitution."
provider_condition_admission_status,LOCKED_NORMAL_PROVIDER_ROWS_ONLY,"docs/process/CARVER_S09_MES_CONTINUOUS_LINEAGE_RISK_COST_ELIGIBILITY_EXECUTION_RESULT_2026-06-03.md; docs/researchops/s09/mes_continuous_lineage_risk_cost_eligibility/2022-01-03_2023-12-29/status/20260603_S09_MES_CONTINUOUS_LINEAGE_RISK_COST_ELIGIBILITY_strategy_input_readiness_status.json","Prior lineage admitted 3013 normal provider-condition rows and rejected 5 degraded/unresolved rows.","Preserve no-fill/no-repair/no-degraded-row policy."
continuous_lineage_status,PROVISIONAL_LOCAL_LINEAGE_NOT_STRATEGY_INPUT,"docs/researchops/s09/mes_continuous_lineage_risk_cost_eligibility/2022-01-03_2023-12-29/continuous_series/20260603_S09_MES_CONTINUOUS_LINEAGE_RISK_COST_ELIGIBILITY_continuous_daily_mes_dev_recon_only.csv","Local additive lineage exists but remains provisional.","Lock official lifecycle evidence and roll trading-date semantics."
official_lifecycle_evidence_status,FAIL_CLOSED_S09_MES_OFFICIAL_LIFECYCLE_EVIDENCE_NOT_HASH_BOUND,"Existing Databento definitions and local MES static extract are cross-checks only.","Official/hash-bound 2021-2024 lifecycle evidence for every MES contract in the chain is not locked.","Execute official/static CME MES lifecycle evidence intake and hash binding."
roll_trading_day_semantics_status,FAIL_CLOSED_S09_MES_PROVIDER_DATE_ROLL_SEMANTICS_NOT_SOURCE_LOCKED,"Prior roll plan uses Databento provider-date rows including Sunday labels.","Carver completed-daily semantics versus provider-date roll buffer basis is unresolved.","Resolve provider trading date, exchange session date, and Sunday/holiday row policy."
annual_risk_runtime_status,FAIL_CLOSED_S09_MES_ANNUAL_RISK_RUNTIME_NOT_LOCKED,"src/carver/spine/s03.py supplies synthetic S03 plumbing only.","No real MES annual percentage risk runtime has been source-locked or executed.","Lock S03 annual-risk source atoms, warmup, long-run/short-run blend, no-lookahead, and first usable date."
daily_price_risk_conversion_source_status,LOCKED_BOOK_SOURCE_ATOM,"docs/process/CARVER_S09_SOURCE_ATOM_LOCK_AND_SYNTHETIC_CONFORMANCE_GATE_2026-06-02.md; src/carver/spine/s09.py","daily_price_risk = current_price * annual_percentage_risk / 16 is source-locked in synthetic/process scope.","Keep conversion separate from runtime readiness."
daily_price_risk_runtime_status,FAIL_CLOSED_S09_MES_DAILY_PRICE_RISK_RUNTIME_BLOCKED_BY_ANNUAL_RISK,"Annual percentage risk runtime is not locked.","Daily price-risk rows cannot be emitted without aligned annual-risk rows.","Execute only after annual-risk runtime passes."
cost_source_status,FAIL_CLOSED_S09_MES_SOURCE_NATIVE_COST_SOURCE_NOT_LOCKED,"No MES source-native historical cost evidence is locked for this S09 gate.","ETF, CFD, prop-firm, or old QuantLab costs are forbidden substitutes.","Lock commission, exchange, clearing/NFA/regulatory fees, spread/slippage treatment, and historical effective basis."
risk_adjusted_cost_status,FAIL_CLOSED_S09_MES_RISK_ADJUSTED_COST_NOT_LOCKED,"Cost source and daily price risk runtime are both unresolved.","Risk-adjusted cost per trade cannot be computed.","Compute only after source-native costs and daily price risk pass."
speed_cost_eligibility_status,FAIL_CLOSED_S09_MES_SPEED_COST_ELIGIBILITY_NOT_LOCKED,"S09 0.15 SR threshold is book/source verified but not production-machine locked for this MES runtime.","No speed-specific real-data cost eligibility has been determined.","Lock threshold interpretation, turnover/cost rule, and eligible EWMAC speed set."
eligible_speed_set_status,FAIL_CLOSED_S09_MES_ELIGIBLE_SPEED_SET_NOT_LOCKED,"All-six-speed assumption remains forbidden.","FDM Table 36 row cannot be selected for real MES until eligible speed set is known.","Select eligible span set only after cost eligibility passes."
strategy_input_readiness_status,FAIL_CLOSED_S09_MES_STRATEGY_INPUT_NOT_READY,"Lifecycle, roll semantics, annual risk, cost, and speed eligibility remain blocked.","No forecast/backtest gate may consume the provisional MES series.","Open official lifecycle/roll/risk/cost evidence execution before any S09 forecast."
