evidence_name,required_status,current_status,blocking_reason,next_action
official_lifecycle_evidence,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
roll_trading_day_semantics,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
annual_risk_runtime_values,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
daily_price_risk_values,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
historical_mes_cost_values,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
risk_adjusted_cost_values,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
speed_eligibility_values,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
eligible_speed_set,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
table36_fdm_row,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
hash_bound_provenance,LOCKED_SOURCE_NATIVE_EVIDENCE,LOCKED_SOURCE_NATIVE_EVIDENCE,Evidence family is locked and hash-bound to the machinery-development slice.,Proceed only to the separately authorized strategy-input readiness gate.
